學年度,洲別,國別,學位生_正式修讀學位外國生,學位生_僑生(含港澳),學位生_正式修讀學位陸生,非學位生_外國交換生,非學位生_外國短期研習及個人選讀,非學位生_大專附設華語文中心學生,非學位生_大陸研修生,非學位生_馬來西亞華裔青年來台就學輔導及技職研習專班,境外專班
112,美洲,巴拿馬,11,4,0,0,0,4,0,0,0
112,美洲,多明尼加,2,7,0,2,1,4,0,0,0
112,美洲,哥斯大黎加,3,5,0,0,0,5,0,0,0
112,美洲,千里達,0,0,0,4,9,0,0,0,0
112,美洲,牙買加,1,0,0,0,1,2,0,0,0
112,美洲,巴哈馬,2,0,0,0,0,0,0,0,0
112,美洲,格瑞那達,1,0,0,0,0,0,0,0,0
112,美洲,巴拉圭,186,16,0,88,0,144,0,0,5
112,美洲,巴西,30,38,0,4,23,77,0,0,0
112,美洲,聖克里斯多福,65,0,0,0,0,34,0,0,0
112,美洲,秘魯,41,1,0,3,2,35,0,0,0
112,美洲,阿根廷,9,38,0,1,1,24,0,0,1
112,美洲,哥倫比亞,38,2,0,5,0,27,0,0,2
112,美洲,智利,14,8,0,2,0,19,0,0,3
112,美洲,厄瓜多,14,7,0,0,0,15,0,0,2
112,美洲,委內瑞拉,5,5,0,1,0,4,0,0,0
112,美洲,玻利維亞,5,2,0,0,0,2,0,0,0
112,美洲,蘇利南,0,0,0,0,0,1,0,0,0
112,美洲,烏拉圭,0,0,0,0,0,0,0,0,1
